initial state: ####..##.##..##..#..###..#....#.######..###########.#...#.##..####.###.#.###.###..#.####..#.#..##..#

.#.## => .
...## => #
..#.. => .
#.#.. => .
...#. => .
.#... => #
..... => .
#.... => .
#...# => #
###.# => .
..### => #
###.. => .
##.## => .
##.#. => #
..#.# => #
.###. => .
.#.#. => .
.##.. => #
.#### => .
##... => .
##### => .
..##. => .
#.##. => .
.#..# => #
##..# => .
#.#.# => #
#.### => .
....# => .
#..#. => #
#..## => .
####. => #
.##.# => #
